FID,NAME,HH,pop,hhsize,sexratio,p0_14,p15_64,p65u,curborn,forborn,firstgen,secgen,thirdgen,leave,stay,meanHHinc,GFR,unemploy,partrate,airpolut,badcond,nvrmarr,married,divorced,consuni,area,popdens,CreationDate,Creator,EditDate,Editor,x,y
16,BARICA,218,599,2.7,88,0.175,0.666,0.159,0.808,0.192,0.192,0.141,0.667,0.039,0.669,5216,46,8,58.1,9.2,7.8,37.9,36.5,7.5,9.4,0.325,1843.07699068058,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
17,ARRARAT,40,98,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,20,42.5,28.8,10,10,0.022,4454.54547868287,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
18,PRETU BIJ DE SAVAAN,18,44,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,38.9,36.1,8.3,11.1,0.061,721.311467304502,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
19,BUENA VISTA,1455,3892,2.7,81,0.188,0.643,0.169,0.738,0.262,0.262,0.178,0.56,0.027,0.675,3814,46,13.1,57.6,26.5,11.6,41.5,34.1,7,10.4,1.475,2638.64402514564,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
20,SUFFISANT,684,1838,2.7,81,0.175,0.631,0.194,0.707,0.293,0.294,0.263,0.443,0.03,0.603,4180,61,8.5,55.9,8.7,3.4,38.6,34.1,9.6,8.4,0.702,2618.23353642497,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
21,BEN HOYER,69,177,2.6,72,0.147,0.627,0.226,0.726,0.274,0.274,0.28,0.446,0,0.982,4361,0,0,0,4.4,5.9,39,30.1,12.3,11,0.041,4317.07305148696,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
22,RANCHO,27,57,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,12,42.2,11.1,6.7,31.1,0.139,410.071946666278,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
23,BEURS,97,247,2.5,86,0.198,0.7,0.101,0.741,0.259,0.26,0.187,0.553,0.049,0.604,5844,0,10.2,69.2,8.2,3.1,33.8,39.5,2.6,11.8,0.103,2398.05824965174,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
24,SERU OTROBANDA,121,385,2.2,78,0.109,0.636,0.255,0.668,0.332,0.338,0.166,0.496,0.016,0.678,3127,0,9.2,61.6,26.4,18.1,47.1,25,12.4,7.6,0.143,2692.30756662173,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
25,BIESHEUVEL,25,65,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,22.9,47.9,12.5,8.3,0.091,714.2857287892,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
26,RONDE KLIP,167,441,2.6,89,0.206,0.694,0.1,0.777,0.223,0.223,0.137,0.64,0.007,0.586,4329,34,8.3,62,26.5,4.2,38.3,37.1,4.1,12.3,1.017,433.628335662427,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
27,RONDE KLIP ZUID,140,379,2.7,87,0.203,0.71,0.087,0.821,0.179,0.179,0.136,0.684,0.025,0.542,4132,47,7.4,62.9,16.4,12.9,41,35.8,5.2,12.8,0.502,754.980118406651,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
